;Unnamed: 0;tanggal_tweet;pengguna;isi_tweet;sentimen;step01;tokens;final_tokens;step02
17;17;2022-10-30 11:25:59+00:00;SubchanBecam;@sezer1405 @SeruniPuspaAlam @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ Budak bohir teriak budak;0;user user user user user user user user budak bohir teriak budak;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'budak', 'bohir', 'teriak', 'budak'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'budak', 'bohir', 'teriak', 'budak'];user user user user user user user user budak bohir teriak budak
18;18;2022-10-30 10:45:55+00:00;TianSutianah;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Ulama… https://t.co/B3gNGBIuG9;0;user user user user user user user user ulama cob3gngbiug9;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'ulama', 'cob3gngbiug9'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'ulama', 'cob3gngbiug9'];user user user user user user user user ulama cob3gngbiug9
19;19;2022-10-30 09:44:19+00:00;WahyuUt22351265;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Apapu… https://t.co/ZL8RXEQELe;0;user user user user user user user user apapu cozl8rxeqele;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'apapu', 'cozl8rxeqele'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'apapu', 'cozl8rxeqele'];user user user user user user user user apapu cozl8rxeqele
20;20;2022-10-30 09:33:50+00:00;IrSarwono6;RT @IrSarwono6: @puanmaharani_ri @jokowi @AnnisaPohan @AgusYudhoyono @aliyarajasa @Edhie_Baskoro @SBYudhoyono @pramonoanung @xcintakiehlx I…;0;rt user user user user user user user user user user;['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user'];['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user'];rt user user user user user user user user user user
21;21;2022-10-30 09:33:20+00:00;IrSarwono6;@puanmaharani_ri @jokowi @AnnisaPohan @AgusYudhoyono @aliyarajasa @Edhie_Baskoro @SBYudhoyono @pramonoanung… https://t.co/VT6pdMyxxa;0;user user user user user user user user covt6pdmyxxa;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'covt6pdmyxxa'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'covt6pdmyxxa'];user user user user user user user user covt6pdmyxxa
22;22;2022-10-30 08:56:19+00:00;ujay90;"RT @sezer1405: Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna @Leonita_Lestari…";0;rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user;['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user
23;23;2022-10-30 08:16:12+00:00;basaillive;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Lapor… https://t.co/mVtaZxxfqL;0;user user user user user user user user lapor comvtazxxfql;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'lapor', 'comvtazxxfql'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'lapor', 'comvtazxxfql'];user user user user user user user user lapor comvtazxxfql
24;24;2022-10-30 08:12:14+00:00;OnayRiano;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Gamis pakaian jahiliah ... 😜;0;user user user user user user user user gamis pakaian jahiliah;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'gamis', 'pakaian', 'jahiliah'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'gamis', 'pakaian', 'jahiliah'];user user user user user user user user gamis pakaian jahiliah
25;25;2022-10-30 08:00:17+00:00;RaniKancana__;"RT @sezer1405: Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna @Leonita_Lestari…";0;rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user;['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user
26;26;2022-10-30 07:46:32+00:00;hatimu_sakit;@sezer1405 @SeruniPuspaAlam @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ Teori… https://t.co/Pb1gO1UP7C;0;user user user user user user user user teori copb1go1up7c;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'teori', 'copb1go1up7c'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'teori', 'copb1go1up7c'];user user user user user user user user teori copb1go1up7c
27;27;2022-10-30 07:43:22+00:00;SeruniPuspaAlam;"RT @sezer1405: Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna @Leonita_Lestari…";0;rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user;['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user
28;28;2022-10-30 07:42:54+00:00;Madebylaluna;"RT @sezer1405: Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna @Leonita_Lestari…";0;rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user;['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user
29;29;2022-10-30 07:41:00+00:00;sezer1405;"Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna… https://t.co/KbqGc322ht";0;wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user cokbqgc322ht;['wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'cokbqgc322ht'];['wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'cokbqgc322ht'];wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user cokbqgc322ht
30;30;2022-10-30 03:15:22+00:00;IrSarwono6;RT @IrSarwono6: @puanmaharani_ri @jokowi @AnnisaPohan @AgusYudhoyono @aliyarajasa @Edhie_Baskoro @SBYudhoyono @pramonoanung III. Pertum Eko…;0;rt user user user user user user user user user iii pertum eko;['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'iii', 'pertum', 'eko'];['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'iii', 'pertum', 'eko'];rt user user user user user user user user user iii pertum eko
31;31;2022-10-30 03:14:01+00:00;IrSarwono6;RT @IrSarwono6: @puanmaharani_ri @jokowi @AnnisaPohan @AgusYudhoyono @aliyarajasa @Edhie_Baskoro @SBYudhoyono @pramonoanung @xcintakiehlx I…;0;rt user user user user user user user user user user;['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user'];['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user'];rt user user user user user user user user user user
32;32;2022-10-30 02:19:16+00:00;IrSarwono6;@puanmaharani_ri @jokowi @AnnisaPohan @AgusYudhoyono @aliyarajasa @Edhie_Baskoro @SBYudhoyono @pramonoanung… https://t.co/vHqgRwBbgp;0;user user user user user user user user covhqgrwbbgp;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'covhqgrwbbgp'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'covhqgrwbbgp'];user user user user user user user user covhqgrwbbgp
33;33;2022-10-30 02:13:15+00:00;IrSarwono6;@puanmaharani_ri @jokowi @AnnisaPohan @AgusYudhoyono @aliyarajasa @Edhie_Baskoro @SBYudhoyono @pramonoanung III. Pe… https://t.co/ynl0t1w99D;0;user user user user user user user user iii pe coynl0t1w99d;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'iii', 'pe', 'coynl0t1w99d'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'iii', 'pe', 'coynl0t1w99d'];user user user user user user user user iii pe coynl0t1w99d
34;34;2022-10-29 10:56:02+00:00;jaowlia;RT @xcintakiehlx: Akhirnya badanku menyerah juga.🤒 https://t.co/1wd0vLDyON;0;rt user akhirnya badanku menyerah juga co1wd0vldyon;['rt', 'user', 'akhirnya', 'badanku', 'menyerah', 'juga', 'co1wd0vldyon'];['rt', 'user', 'akhirnya', 'badanku', 'menyerah', 'juga', 'co1wd0vldyon'];rt user akhirnya badanku menyerah juga co1wd0vldyon
35;35;2022-10-29 10:19:24+00:00;IrvanJou;RT @xcintakiehlx: Sumpah pemuda Indonesia untuk tetap menjaga NKRI .🇮🇩 https://t.co/a4Hl5nHPwh;0;rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh;['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh
36;36;2022-10-29 10:01:59+00:00;HariMulyawan50;RT @xcintakiehlx: Sumpah pemuda Indonesia untuk tetap menjaga NKRI .🇮🇩 https://t.co/a4Hl5nHPwh;0;rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh;['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh
37;37;2022-10-29 05:17:10+00:00;puretokun;wihh @xcintakiehlx X JKT48???? 🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/fhz3KiPcan;0;wihh user jkt48 cofhz3kipcan;['wihh', 'user', 'jkt48', 'cofhz3kipcan'];['wihh', 'user', 'jkt48', 'cofhz3kipcan'];wihh user jkt48 cofhz3kipcan
38;38;2022-10-29 04:14:23+00:00;JGR48_ind;"[INFO]

@officialJKT48 akan berkolaborasi bersama dengan @xcintakiehlx pada acafa ""Grand Final Bintang SMA 2022""… https://t.co/WVMdSsJ7sh";1;info user akan berkolaborasi bersama dengan user pada acafa grand final bintang sma number cowvmdssj7sh;['info', 'user', 'akan', 'berkolaborasi', 'bersama', 'dengan', 'user', 'pada', 'acafa', 'grand', 'final', 'bintang', 'sma', 'number', 'cowvmdssj7sh'];['info', 'user', 'akan', 'berkolaborasi', 'bersama', 'dengan', 'user', 'pada', 'acafa', 'grand', 'final', 'bintang', 'sma', 'number', 'cowvmdssj7sh'];info user akan berkolaborasi bersama dengan user pada acafa grand final bintang sma number cowvmdssj7sh
39;39;2022-10-29 01:24:26+00:00;carin_rezpector;RT @xcintakiehlx: Sumpah pemuda Indonesia untuk tetap menjaga NKRI .🇮🇩 https://t.co/a4Hl5nHPwh;0;rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh;['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh
40;40;2022-10-29 00:41:30+00:00;Eman8Junkgod;@xcintakiehlx Aku menjaga kamu aja bebh;0;user aku menjaga kamu aja bebh;['user', 'aku', 'menjaga', 'kamu', 'aja', 'bebh'];['user', 'aku', 'menjaga', 'kamu', 'aja', 'bebh'];user aku menjaga kamu aja bebh
41;41;2022-10-29 00:17:46+00:00;Igo_winata;RT @xcintakiehlx: Sumpah pemuda Indonesia untuk tetap menjaga NKRI .🇮🇩 https://t.co/a4Hl5nHPwh;0;rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh;['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];['rt', 'user', 'sumpah', 'pemuda', 'indonesia', 'untuk', 'tetap', 'menjaga', 'nkri', 'coa4hl5nhpwh'];rt user sumpah pemuda indonesia untuk tetap menjaga nkri coa4hl5nhpwh
42;42;2022-10-28 23:12:32+00:00;didithardworker;@sheknowshoney @adeirra @xcintakiehlx Sebuah kafe di Kyiv Ukraina https://t.co/7C8Vkjq8ji;0;user user user sebuah kafe di kyiv ukraina co7c8vkjq8ji;['user', 'user', 'user', 'sebuah', 'kafe', 'di', 'kyiv', 'ukraina', 'co7c8vkjq8ji'];['user', 'user', 'user', 'sebuah', 'kafe', 'di', 'kyiv', 'ukraina', 'co7c8vkjq8ji'];user user user sebuah kafe di kyiv ukraina co7c8vkjq8ji
